id,latitude,longitude
5497563708,52.2055056,6.8217471
5497564627,52.2056922,6.8221865
5560728886,52.2052180,6.8222667
2552418639,52.2080151,6.8249452
2552418640,52.2079255,6.8244772
2552418641,52.2084153,6.8246381
5497563710,52.2053845,6.8226977
5497564628,52.2056617,6.8223276
45693253,52.2051460,6.8545093
45695444,52.2055320,6.8540567
4548663052,52.2053105,6.8539832
4548663053,52.2053444,6.8546653
4548663054,52.2054201,6.8539489
4548663055,52.2052058,6.8542788
4548663056,52.2054685,6.8542770
4548663057,52.2052554,6.8546311
3364733436,52.2150589,6.8387437
4244169582,52.2151593,6.8382124
4248166535,52.2149526,6.8382706
4248166536,52.2150310,6.8386509
4248166537,52.2151968,6.8388649
4248166538,52.2152326,6.8388044
8809586013,52.2148504,6.8383583
45745340,52.2163335,6.8366676
45749878,52.2173140,6.8366802
1490892477,52.2171718,6.8366092
1490900052,52.2174253,6.8356823
4248166540,52.2164212,6.8373623
4248166542,52.2165395,6.8372533
4248236950,52.2165035,6.8374367
4248245760,52.2163944,6.8368844
4248245761,52.2170604,6.8365072
4248245762,52.2172272,6.8357947
4248245764,52.2173742,6.8365967
4248245765,52.2175158,6.8358948
9572621148,52.2161987,6.8372650
9572621150,52.2162357,6.8373409
45787363,52.2254456,6.8376148
915805104,52.2239868,6.8373324
3230751296,52.2240818,6.8373077
3230751369,52.2239408,6.8371447
4270134764,52.2255312,6.8377768
4270134767,52.2258150,6.8374403
4270137232,52.2238892,6.8367996
4270137233,52.2242890,6.8370479
4270138470,52.2240608,6.8367071
5575654949,52.2257222,6.8377816
30785190,52.2300147,6.8379336
601157502,52.2301000,6.8379326
4130480295,52.2298059,6.8381521
4130480303,52.2301339,6.8384276
4548622731,52.2299876,6.8385508
4548622732,52.2301590,6.8382704
4548622733,52.2301499,6.8381259
45758395,52.2189569,6.8637245
1554083835,52.2191523,6.8642206
1554083865,52.2192647,6.8639907
2552436786,52.2203075,6.8666703
4262122733,52.2212396,6.8627278
4262122734,52.2212641,6.8621685
4262122735,52.2212711,6.8628323
4262122736,52.2213171,6.8622660
4262122737,52.2214202,6.8625429
4548673562,52.2214905,6.8624865
4548673567,52.2203675,6.8680932
4548702954,52.2203588,6.8666038
4548702955,52.2202058,6.8665079
4548702956,52.2201594,6.8663180
4548702957,52.2203145,6.8659649
4548702960,52.2191343,6.8635745
4548702961,52.2192615,6.8642289
4548702962,52.2190560,6.8640730
4548702963,52.2190125,6.8638904
4548702964,52.2190028,6.8636176
5982174941,52.2203708,6.8660749
5982174943,52.2204673,6.8657362
5982174949,52.2203630,6.8659569
5982174958,52.2202660,6.8680201
3253417882,52.2352159,6.8470327
4548555367,52.2353333,6.8466515
4548555368,52.2353737,6.8471663
4548555369,52.2353117,6.8471635
4548555371,52.2352193,6.8467869
4548555373,52.2354409,6.8466429
2510856026,52.1911325,6.8772338
2510856029,52.1911809,6.8778478
4064169337,52.1914099,6.8774915
279592979,52.1989230,6.8790979
4548646734,52.1987569,6.8790019
4548646735,52.1988323,6.8792819
4548646736,52.1986758,6.8791936
4548646737,52.1988110,6.8788984
4548646738,52.1987739,6.8793861
4486156045,52.2066966,6.8806613
4486156046,52.2067138,6.8802996
4486156047,52.2067958,6.8804956
4486156048,52.2065655,6.8805000
4548663059,52.2092506,6.8752989
9328361357,52.2092191,6.8753566
4548639043,52.1969733,6.8912875
4548639044,52.1967460,6.8917746
4548639045,52.1967493,6.8910183
4548639046,52.1965272,6.8914302
4548639047,52.1969303,6.8915730
4548639048,52.1965807,6.8912044
4548639049,52.1966435,6.8916860
4548639050,52.1968446,6.8916989
4548653612,52.1992529,6.8906769
4548653613,52.1991963,6.8910803
4548653614,52.1995189,6.8908181
4548653615,52.2012121,6.8902614
4548653617,52.2014404,6.8903722
9193958339,52.2011614,6.8902542
9193958360,52.2014809,6.8906547
9193958363,52.2010244,6.8906908
9194030349,52.2012711,6.8908293
4253892961,52.2061141,6.8898718
4253892962,52.2061588,6.8901162
4253892963,52.2061755,6.8896916
4253892964,52.2062520,6.8901997
4253892965,52.2063009,6.8895160
4253892966,52.2063424,6.8894464
4253892967,52.2063531,6.8902637
4253892968,52.2064044,6.8901803
4253892969,52.2064772,6.8894891
4253892970,52.2064851,6.8900537
4253892971,52.2065433,6.8895695
4253892973,52.2065707,6.8896800
9013287875,52.2065207,6.8899265
9194055327,52.2065255,6.8898514
9194055328,52.2065301,6.8897776
9194055329,52.2065323,6.8897439
9091258878,52.1935914,6.8996346
9091258879,52.1935108,6.8996979
9091258880,52.1935681,6.8997556
9091258881,52.1935145,6.8995713
9091258882,52.1935371,6.8995542
45702063,52.2070488,6.8958885
1754279187,52.2069195,6.8954103
2896979530,52.2068545,6.8956075
2896979534,52.2069657,6.8953213
2896979537,52.2071014,6.8958849
2896979539,52.2071284,6.8954988
3006688315,52.2072163,6.8955684
3216929870,52.2069314,6.8957400
4248517145,52.2110603,6.8791651
4248517146,52.2111474,6.8798158
4248517147,52.2112515,6.8790465
4248517148,52.2113317,6.8796159
4548663058,52.2093652,6.8752686
4548663060,52.2093730,6.8756066
4548665261,52.2092690,6.8756850
6362795801,52.2113643,6.8794725
461115705,52.2206779,6.8745089
1568325623,52.2178632,6.8736396
3114756358,52.2203650,6.8686625
3114756366,52.2204817,6.8682428
3176635697,52.2206436,6.8747242
3176651343,52.2180865,6.8732674
4248256001,52.2179833,6.8732188
4475824446,52.2181019,6.8736300
4475971249,52.2181461,6.8734022
4475971250,52.2182017,6.8734870
4475971251,52.2205912,6.8743459
4475971253,52.2203284,6.8744583
4475971255,52.2205181,6.8742986
4548673568,52.2204359,6.8684729
2356668275,52.2209764,6.8784596
4248304942,52.2208980,6.8788115
4248304943,52.2209329,6.8786470
4248304944,52.2210189,6.8790613
4248304945,52.2211327,6.8791101
4248304946,52.2211799,6.8789146
4248304947,52.2212134,6.8785877
4475971252,52.2205573,6.8747558
4475971254,52.2204426,6.8747468
6635840904,52.2212184,6.8786847
4248510769,52.2106922,6.8817084
4248510770,52.2108499,6.8814547
4248510771,52.2108843,6.8821099
4248510772,52.2110146,6.8820479
8098729434,52.2141937,6.8874540
8098729438,52.2140815,6.8877719
8098729444,52.2144430,6.8876970
8098729450,52.2141594,6.8875563
8098729454,52.2142840,6.8875262
8098729534,52.2144841,6.8878302
45716830,52.2103922,6.8891061
4248506580,52.2097962,6.8893261
4248506581,52.2098690,6.8895890
4248506582,52.2099052,6.8891365
4248506583,52.2099608,6.8895820
4248506584,52.2100268,6.8888890
4248506585,52.2100917,6.8896782
4248506586,52.2101067,6.8887836
4248506587,52.2101753,6.8895473
4248506588,52.2102427,6.8894940
4248507489,52.2102465,6.8888542
4248507490,52.2103173,6.8889935
8098729436,52.2141061,6.8878937
8098729440,52.2140953,6.8881308
8098729469,52.2146052,6.8879932
8098729477,52.2140687,6.8880100
8660285650,52.2140991,6.8878595
8660285656,52.2144277,6.8880490
8660285659,52.2141597,6.8881508
267156087,52.2216188,6.8868833
2427039003,52.2218363,6.8869815
4248319644,52.2214615,6.8872824
4248319645,52.2216883,6.8875167
4248319646,52.2217517,6.8875268
4481856296,52.2218517,6.8871686
6594436564,52.2203507,6.8876199
6594436565,52.2204528,6.8874861
6594436566,52.2204238,6.8876313
6594436567,52.2203903,6.8874539
4964181186,52.2179124,6.8908046
6781650134,52.2182859,6.8910158
6781650138,52.2182659,6.8910705
6781650148,52.2180907,6.8905880
6781650150,52.2181664,6.8905822
6879879764,52.2179343,6.8907429
6879879771,52.2179752,6.8909656
6906975007,52.2181540,6.8911763
6906975020,52.2181003,6.8912032
45777551,52.2230840,6.8788489
1578994403,52.2262662,6.8809530
2553210791,52.2229424,6.8786970
2553210793,52.2232813,6.8785841
2886278920,52.2264132,6.8802983
2886278937,52.2280266,6.8760963
3147753140,52.2264425,6.8806874
3738993398,52.2261548,6.8803628
4248342177,52.2262263,6.8808501
4248342180,52.2262820,6.8802646
4248342182,52.2263721,6.8802401
4480302901,52.2281453,6.8755042
4480302903,52.2280316,6.8756432
4487761602,52.2261861,6.8808026
4576232691,52.2282841,6.8759709
5410218534,52.2282490,6.8755742
5410218535,52.2282012,6.8755350
5452442798,52.2231506,6.8783944
8034226255,52.2281312,6.8761485
8034257789,52.2280726,6.8761489
45804952,52.2296578,6.8785520
45777120,52.2232312,6.8874148
267156082,52.2235671,6.8871094
579967261,52.2233609,6.8875963
2998486454,52.2236073,6.8872266
4248342192,52.2234952,6.8876643
4248342193,52.2235959,6.8874516
4248965236,52.2232872,6.8871271
4471634499,52.2238738,6.8869526
4471634500,52.2238146,6.8869442
4471634501,52.2238319,6.8867340
4471652731,52.2239379,6.8869672
45800365,52.2285046,6.8901973
464695268,52.2282880,6.8919678
1747860075,52.2271851,6.8906400
1747860581,52.2269162,6.8904668
4248402899,52.2282450,6.8900354
4248402900,52.2283720,6.8897125
4248402901,52.2286357,6.8898556
4248419086,52.2280822,6.8916116
4248419088,52.2281748,6.8915547
4248419289,52.2282568,6.8920365
4475971248,52.2281670,6.8920960
4476032144,52.2272303,6.8905067
4476032145,52.2269905,6.8906180
4485656271,52.2280762,6.8919311
6405725309,52.2281434,6.8915752
8420319357,52.2281582,6.8919686
8420319358,52.2281303,6.8919545
8889575847,52.2283050,6.8900944
8889575851,52.2285604,6.8897812
4476032141,52.2306941,6.8891104
4476032142,52.2307278,6.8888139
4476032143,52.2304948,6.8889611
4476032146,52.2305608,6.8887730
1754279234,52.2092888,6.8949676
3006688304,52.2092741,6.8948919
4248489089,52.2093994,6.8944836
4248489090,52.2095695,6.8950134
4248489091,52.2096666,6.8946930
338765961,52.2171798,6.9002177
1223119067,52.2167111,6.9000795
2625192333,52.2169055,6.9005444
4471594234,52.2166405,6.9002201
4471594235,52.2171064,6.9003753
4471594236,52.2170055,6.9005839
4471594238,52.2168127,6.9004344
